Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 24-018785,Theft from Building,01/18/2024 1330,01/23/24,9 Pleasant St SE,Inactive
UM 24-018808,Impound Abandoned Vehicle,01/23/2024 1218,01/23/24,225 Pleasant St SE,Closed - Cited
UM 24-018873,Recovered Property,01/18/2024 1749,01/23/24,505 Washington Ave SE,Closed
UM 24-019241,Theft by Swindle,01/18/2024 1137,01/23/24,1122 University Ave SE,HUCK
UM 24-019325,Public Urination,01/23/2024 2241,01/23/24,300 19th Ave S,Closed - Cited
UM 24-017849,Burglary of Business,01/19/2024 1600,01/22/24,401 East River Parkway,Inactive
UM 24-018031,Auto Theft,01/22/2024 1353,01/22/24,1002 Essex St SE,THOMAS
UM 24-018033,Trespass,01/22/2024 1359,01/22/24,200 Oak St SE,Closed
UM 24-017098,Motor Vehicle Damage Report,01/21/2024 0857,01/21/24,300 Washington Ave SE,Closed
UM 24-017193,Accidental Fire,01/21/2024 1135,01/21/24,1030 27th Ave SE,Closed
UM 24-013055,Auto Theft,01/16/2024 0550,01/20/24,2210 6th St SE,Inactive
UM 24-016237,Online Theft,01/20/2024 0100,01/20/24,614 Delaware St SE,Inactive
UM 24-016288,Miscellaneous,01/20/2024 1100,01/20/24,2021 6th St SE,Unfounded
UM 24-016324,Damage to Motor Vehicle,01/19/2024 1400,01/20/24,2067 Dudley Ave,Inactive
UM 24-016328,Overdose,01/20/2024 1205,01/20/24,551 Washington Ave SE,Closed
UM 24-016641,Trespass,01/20/2024 1929,01/20/24,615 Washington Ave SE,Closed
UM 24-016668,Auto Theft,01/20/2024 2011,01/20/24,1014 6th St SE,Inactive
UM 24-015544,Health Welfare Hold,01/19/2024 1521,01/19/24,909 Fulton St SE,Closed
UM 24-015799,Motor Vehicle Damage Report,01/19/2024 1954,01/19/24,500 Harvard St SE,Closed
UM 24-015836,Driving After Revocation,01/19/2024 2037,01/19/24,225 19th Ave S,Closed - Cited
UM 24-015870,Driving After Suspension,01/19/2024 2125,01/19/24,4th St SE / 17th Ave SE,Closed - Cited
MP 24-700602,Damage to Motor Vehicle,1/16/2024 15:30,01/22/24,4th St S & 21st Ave S,MPD
MP 24-14453,Assault,1/18/2024 5:00,01/22/24,525 23rd Ave S,MPD
MP 24-9380,Auto Theft,1/10/2024 18:20,01/22/24,2450 Riverside Ave S,MPD
MP 24-700595,Hit and Run-Property Damage,1/15/2024 14:32,01/22/24,Oak St SE & University Ave SE,MPD
MP 24-700607,Damage to Motor Vehicle,1/16/2024 12:15,01/22/24,615 Washington Ave SE,MPD
UM 24-015059,Warrant,01/18/2024 2041,01/18/24,25th Ave S / Riverside Ave,Closed - Arrest
UM 24-015025,Non-Vehicular Accident,01/18/2024 1957,01/18/24,Church St SE / Pillsbury Dr SE,Closed
UM 24-014954,Driving After Suspension,01/18/2024 1819,01/18/24,10th Ave SE / University Ave SE,Closed - Cited
UM 24-014906,Flee Police In Motor Vehicle,01/18/2024 1739,01/18/24,20th Ave S / Riverside Ave,Closed
UM 24-014750,Impound Abandoned Vehicle,01/18/2024 1442,01/18/24,500 Pillsbury Dr SE,Closed
UM 24-014703,Online Theft,01/18/2024 1230,01/18/24,200 Union St SE,Closed
UM 24-014616,Theft from Building,01/16/2024 1000,01/18/24,321 19th Ave S,Closed
UM 24-014554,Burlgary of Business,01/04/2024 0000,01/18/24,72 Pleasant St SE,Closed
UM 24-014543,Damage to Property,01/11/2024 0000,01/18/24,1180 Main St SE,CARLSON
UM 24-014467,Assault,01/17/2024 1000,01/18/24,500 Harvard St SE,Jurisdiction Transfer
UM 24-013872,Hit/Run Property Damage,01/12/2024 1746,01/17/24,501 Washington Ave SE,Closed
UM 24-014363,Accidental Fire,01/18/2024 0024,01/18/24,2101 6th St SE,Closed
UM 24-014369,Damage to Property,01/18/2024 0038,01/18/24,300 19th Ave S,Inactive
UM 24-013661,Damage to Property,01/08/2024 1700,01/17/24,207 Pleasant St SE,Inactive
UM 24-013909,Theft From Buildilng,01/15/2024 1235,01/17/24,701 Fulton St SE,HUCK
UM 24-013942,Hit/Run Property Damage,01/17/2024 1518,01/17/24,615 Washington Ave SE,Unfounded
UM 24-014100,Driving After Revocation,01/17/2024 1754,01/17/24,University Ave SE / 27th Ave SE,Closed - Cited
UM 24-012825,Miscellaneous,01/11/2024 0550,01/16/24,2515 University Ave SE,Closed
UM 24-012907,Theft form Building,01/12/2024 1500,01/16/24,206 Church St SE,Inactive
UM 24-013034,Damage to Motor Vehicle,01/16/2024 0900,01/16/24,1808 4th St SE,Inactive
UM 24-013398,Driving After Revocation,01/16/2024 2212,01/16/24,4th St SE / 10th Ave SE,Closed - Cited
UM 24-012168,Terroristic Threats,01/15/2024 1235,01/15/24,27 Pleasant St SE,Closed
UM 24-010320,Driving After Revocation,01/12/2024 2019,01/13/24,4th St S / Cedar Ave S,Closed - Cited
UM 24-010332,Driving After Revocation,01/12/2024 2037,01/13/24,Riverside Ave / 19th Ave S,Closed - Cited
UM 24-010742,Theft from Motor Vehicle,01/12/2024 0645,01/13/24,659 Delaware St SE,Inactive
UM 24-010820,Trespass,01/13/2024 1538,01/13/24,89 Church St SE,Closed - Cited
UM 24-010862,Impound Abandoned Vehicle,01/13/2024 1645,01/13/24,2721 4th St SE,Closed
UM 24-010879,Motor Vehicle Accident Injury Report,01/11/2024 1655,01/13/24,Church St SE / Pillsbury Dr SE,Closed
UM 24-010052,Theft from Buildling,01/07/2023 0940,01/12/24,330 21st Ave S,FARRAR
UM 24-010096,Driving After Revocation,01/12/2024 1629,01/12/24,4th St SE / 14th Ave SE,Closed - Cited
UM 24-010391,Trespass / Warrant,01/12/2024 2216,01/12/24,800 Washington Ave SE,Active
UM 24-009936,Burglary of Business,01/12/2024 1332,01/12/24,2030 University Ave SE,Inactive
UM 24-009947,Flee Police In Motor Vehicle,01/12/2024 1347,01/12/24,1002 Essex St SE,Closed
UM 24-009513,Traffic,01/11/2024 2107,01/11/24,Washington Ave SE / Huron Blvd,Closed
,,SE,
UM 24-009555,Driving After Revocation,01/11/2024 2200,01/11/24,University Ave SE / 15th Ave SE,Closed - Cited
UM 24-008791,Terroristic Threats,01/11/2024 0557,01/11/24,505 Washington Ave SE,Jurisdiction Transfer
UM 24-008524,Trespassing,01/10/2024 1953,01/10/24,117 Pleasant St SE,Closed - Cited
UM 24-008423,Traffic,01/10/2024 1747,01/10/24,4th St SE / 29th Ave SE,Closed - Cited
UM 24-008292,Theft from Motor Vehicle,01/10/2024 0620,01/10/24,401 Oak St SE,Open
UM 24-008029,Misc,01/10/2024 1015,01/10/24,1390 Eckles Ave,Closed
UM 24-007882,Trespassing,01/10/2024 0841,01/10/24,200 Union St SE,Closed - Arrest
UM 24-007092,Recovered Property,01/09/2024 0917,01/09/24,1301 Industrial Blvd NE,Closed
UM 24-007355,Terroristic Threats,01/09/2024 1449,01/09/24,1984 Buford Ave,HUCK
MP 24-700209,Theft from Motor Vehicle,1/5/24 11:05 AM,01/09/24,2450 Riverside Ave S,MPD
MP 24-4932,Assault,1/6/24 6:18 PM,01/09/24,2312 6th St S,MPD
MP 23-3034,Assault,1/4/24 2:28 PM,01/09/24,2312 6th St S,MPD
UM 24-006517,Trespassing,01/08/2024 1442,01/08/24,615 Washington Ave SE,Closed - Arrest
UM 24-006471,Driving After Revocations,01/08/2024 1345,01/08/24,Univeristy Ave SE / Walnut St SE,Closed - Cited
UM 24-006400,Misc,01/08/2024 1220,01/08/24,2231 6TH St SE,Closed
UM 24-006296,Obstruction,01/08/2024 0941,01/08/24,849 19TH Ave SE,HUCK
UM 24-006279,Theft from Motor Vehicle,01/08/2024 0920,01/08/24,1215 Ray Place,Closed
UM 24-005365,Missing Person,01/07/2024 0045,01/07/24,500 Havard St SE,Closed
UM 24-005288,Trespassing,01/06/2024 2340,01/06/24,390 29th Ave SE,Closed
UM 24-004734,Auto Theft,01/06/2024 1557,01/06/24,419 Erie St SE,Inactive
UM 24-004258,Hit and Run,01/05/2024 1942,01/05/24,Univeristy Ave SE / Oak St SE,Inactive
UM 24-004142,Terroristic Threats,01/05/2024 1746,01/05/24,1984 Buford,HUCK
UM 24-004010,Narcotics Violations,01/05/2024 1552,01/05/24,300 19TH Ave S,FARRAR
UM 24-003710,Theft from Motor Vehicle,01/05/2024 0955,01/05/24,1001 5th St SE,Inactive
UM 24-003675,Damage to Property,01/05/2024 0928,01/05/24,271 19th Ave S,Inactive
UM 24-003061,Recovered Property,01/04/202 1518,01/04/24,1900 University Ave SE,Closed
UM 24-003090,Health Welfare Hold,01/04/2024 1557,01/04/24,551 Washington Ave SE,Inactive
UM 24-003301,Driving After Revocation,01/04/2024 2032,01/04/24,14th Ave SE / 4th St SE,Closed - Cited
UM 24-001958,Trespass,01/03/2024 0924,01/03/24,111 Church St SE,Closed - Cited
UM 24-001987,Damage to Property,01/01/2024 2230,01/03/24,425 Erie St,Inactive
UM 24-002046,Miscellaneous,12/21/2023 0000,01/03/24,412 22nd Ave S,Closed
UM 24-002140,False Info / Possession of Firearm / Warrant,01/03/2024 1316,01/03/24,89 Church St SE,CARLSON
UM 24-002289,Bike Theft,12/17/2023 0000,01/03/24,1180 Gibbs Ave,Inactive
MP 23-344708,Assault,12/29/2024 15:35,01/03/24,2312 6th St S,MPD
MP 23-346446,Assault,12/31/2024 14:10,01/03/24,2450 Riverside Ave S,MPD
UM 24-001067,Trespass,01/02/2024 0935,01/02/24,89 Church St SE,Closed - Cited
UM 24-001101,Trespass / Warrant,01/02/2024 1023,01/02/24,300 Washington Ave SE,Closed - Arrest
UM 24-000235,Driving While Intoxicated,01/01/2024 0242,01/01/24,925 Washington Ave SE,LAPP
UM 24-000725,Traffic Law Enforcement,01/01/2024 1916,01/01/24,University Ave SE / I-35W,Closed - Cited
UM 23-346155,Auto Theft,12/31/2023 0430,12/31/23,2500 University Ave SE,CARLSON
UM 23-346429,Assist Other Agency / Use of Force,12/31/2023 1624,12/31/23,Hennepin Ave E / 29th Ave SE,Closed
UM 23-346461,Theft from Building,12/31/2023 1708,12/31/23,615 Washington Ave SE,CARLSON
UM 23-346507,Driving After Revocation,12/31/2023 1759,12/31/23,University Ave SE / 12th Ave SE,Closed - Cited
UM 23-346571,Driving After Suspension,12/31/2023 1915,12/31/23,917 Washington Ave SE,Closed - Cited
UM 23-346708,Driving After Revocation,12/31/2023 2208,12/31/23,5th St SE / 12th Ave SE,Closed - Cited
UM 23-345300,Miscellaneous,12/29/2023 2000,12/30/23,1365 Gortner Ave,Closed
UM 23-345619,Miscellaneous,12/29/2023 1907,12/30/23,412 22nd Ave S,Closed
UM 23-345714,Hit/Run Property Damage,12/30/2023 1753,12/30/23,35W North / 494,Closed
UM 23-344821,Warrant,12/28/2023 1726,12/29/23,Huron Blvd / Fulton St SE,Closed - Arrest
UM 23-343795,Recovered Property,12/28/2023 1414,12/28/23,200 Union St SE,Closed
UM 23-344052,No Proof of Insurance,12/28/2023 1906,12/28/23,Cedar Ave S / 3rd St S,Closed - Cited
MP 23-340126,Domestic Assault,12/23/2023 17:59,12/28/23,608 25th Ave S,MPD
MP 23-716336,Hit and Run-Property Damage,12/19/2023 14:28,12/28/23,Fulton St SE & Erie St SE,MPD
MP 23-339647,Illegal Possession Hangun,12/23/2023 2:30,12/28/23,4th St SE & 14th Ave SE,MPD
UM 23-343236,Health Welfare Hold,12/27/2023 2125,12/27/23,551 Washington Ave SE,Closed
UM 23-342709,Motor Vehicle Accident Damage Report,12/27/2023 1115,12/27/23,29th Ave SE / Como Ave SE,Closed
UM 23-342972,Health Welfare Hold / Warrant,12/27/2023 1640,12/27/23,2nd St SE / 10th Ave SE,Closed - Arrest
UM 23-343186,Public Urination,12/27/2023 2023,12/27/23,501 Washington Ave SE,Closed - Cited
UM 23-342157,Flee Police In Motor Vehicle,12/26/2023 1701,12/26/23,Huron Blvd SE / Delaware St SE,Closed
UM 23-342177,Damage to Motor Vehicle,12/25/2023 2303,12/26/23,390 29th Ave SE,CARLSON
UM 23-342205,Driving After Revocation / Speed Greater than,12/26/2023 1757,12/26/23,14th Ave SE / 4th St SE,Closed - Cited
,Reasonable,,
UM 23-341499,Possession of Stolen Motor Vehicle / Warrant,12/25/2023 1732,12/25/23,3357 University Ave SE,THOMAS
UM 23-341168,Crisis Intervention,12/25/2023 0258,12/25/23,1 Washington Ave SE,Closed
UM 23-340991,Recovered Property,12/24/2023 2058,12/24/23,1 Washington Ave SE,Closed
UM 23-340631,Hit and Run-Property Damage,12/24/2023 0337,12/24/23,515 Delaware St SE,THOMAS
UM 23-340337,Narcotics Violation / Possession of Burglary,12/23/2023 2319,12/23/23,312 19th Ave S,FARRAR
,Tools,,
UM 23-340288,Use of Force,12/23/2023 2214,12/23/23,700 Washington Ave SE,Closed
UM 23-340141,Theft from Coin Operated Device / Damage to,12/23/2023 1823,12/23/23,257 19th Ave S,Closed
,Property,,
UM 23-340074,Miscellaneous,12/23/2023 0000,12/23/23,500 Harvard St SE,THOMAS
UM 23-339867,Miscellaneous,12/23/2023 1240,12/23/23,633 North ST,HUCK
UM 23-339640,Burglary of Dwelling,12/23/2023 0224,12/23/23,701 Fulton St SE,HUCK
UM 23-339570,Narcotics Violation / Warrant,12/23/2023 0041,12/23/23,4th St SE / 14th St SE,THOMAS
UM 23-339556,Driving After Suspension,12/23/2023 0007,12/23/23,Huron Blvd SE / Fulton St SE,Closed - Cited
UM 23-339492,Driving After Revocation,12/22/2023 2247,12/22/23,1235 4th St SE,Closed - Cited
UM 23-339471,No Valid Driver's License,12/22/2023 2227,12/22/23,4th St SE / 14th Ave SE,Closed - Cited
UM 23-339391,Flee Police In Motor Vehicle,12/22/2023 2034,12/22/23,University Ave SE / 27th Ave SE,THOMAS
UM 23-339329,Warrant / Driving After Revocation,12/22/2023 1931,12/22/23,University Ave SE / Church St SE,Closed - Arrest
UM 23-339005,Recovered Property,12/22/2023 1402,12/22/23,300 19th Ave S,Closed
UM 23-338816,Online Theft,12/18/2023 0001,12/22/23,1458 Cleveland Ave N,Closed
UM 23-338587,Driving After Revocation,12/22/2023 0114,12/22/23,14th Ave SE / 4th Ave SE,Closed - Cited
UM 23-338475,Driving After Revocation,12/21/2023 2155,12/21/23,11th Ave SE / University Ave SE,Closed - Cited
UM 23-338469,Driving After Suspension,12/21/2023 2149,12/21/23,4th St SE / 15th Ave SE,Closed - Cited
UM 23-338219,Trespass,12/21/2023 1705,12/21/23,89 Church St SE,Closed - Cited
MP 23-716221,Theft from Motor Vehicle,12/18/2023 6:45,12/21/23,401 Oak St SE,MPD
UM 23-337567,Open Bottle / No Insurance in Motor Vehicle /,12/20/2023 2318,12/21/23,Oak St SE / Delaware St SE,Closed - Cited
,No Valid Driver's License,,,
UM 23-336923,Theft,12/16/2023 1015,12/20/23,300 Washington Ave SE,Inactive
UM 23-336987,Burglary of Dwelling,12/13/2023 1200,12/20/23,526 22nd Ave S,Inactive
UM 23-337050,Burglary of Business,12/17/2023 2347,12/20/23,2011 Buford Ave,Closed
UM 23-337120,Impound Abandoned Vehicle,12/20/2023 1354,12/20/23,210 Delaware St SE,Closed
UM 23-337248,Health Welfare Hold,12/20/2023 1636,12/20/23,921 17th Ave SE,Closed
UM 23-337289,Use of Force,12/17/2023 0227,12/20/23,14th St SE / 4th St SE,Closed
UM 23-336088,Assault,12/19/2023 0820,12/19/23,909 Fulton St SE,Closed
UM 23-336091,Theft From Motor Vehicle / Damage to Motor,12/18/2023 1030,12/19/23,401 Oak St SE,Inactive
,Vehicle,,,
UM 23-336124,Theft from Motor Vehicle,12/18/2023 1500,12/19/23,501 Washington Ave SE,Inactive
UM 23-336390,Trespass,12/19/2023 1711,12/19/23,615 Washington Ave SE,Closed
UM 23-335857,Theft of Motor Vehicle Parts,12/19/2023 0028,12/19/23,Walnut St SE / Washington Ave,Inactive
,,,SE,
UM 23-335461,Theft from Building,12/15/2023 2300,12/18/23,300 Washington Ave SE,Inactive
UM 23-335482,Theft from Motor Vehicle/Damage to Motor,12/18/2023 0645,12/18/23,401 Oak St SE,Inactive
,Vehicle,,,
UM 23-335726,Warrant,12/18/2023 2110,12/18/23,510 Washington Ave SE,Closed - Arrest
MP 23-333196,Auto Theft,12/16/2023 3:40,12/18/23,410 Church St SE,MPD
MP 23-715978,Theft,12/13/2023 9:55,12/18/23,515 Delaware St SE,MPD
MP 23-716076,Theft from Motor Vehicle,12/9/2023 0:35,12/18/23,Beacon St & Oak St SE,MPD
MP 23-334059,Damage to Motor Vehicle,12/17/2023 0:48,12/18/23,14th Ave SE & University Ave SE,MPD
MP 23-332715,Hit and Run-No Injury,12/15/2023 17:15,12/18/23,17th Ave SE & University Ave SE,MPD
UM 23-334939,Miscellaneous,12/18/2023 0300,12/18/23,317 17th Ave SE,Closed
UM 23-334261,Trespass / Warrant,12/17/2023 0955,12/17/23,257 19th Ave S,Closed
UM 23-334566,Damage to Property,12/16/2023 0228,12/17/23,390 29th Ave SE,CARLSON
UM 23-334758,Flee Police in Motor Vehicle,12/17/2023 2209,12/17/23,4th St SE / Oak St SE,Closed
UM 23-333385,Bike Theft,12/04/2023 1500,12/16/23,516 15th Ave SE,CARLSON
UM 23-333415,Bike Theft,12/15/2023 1609,12/16/23,220 Delaware St SE,THOMAS
UM 23-333551,Theft by Swindle,11/24/2023 0000,12/16/23,615 Fulton St SE,Closed
UM 23-333691,Warrant / Traffic Law Enforcement,12/16/2023 1738,12/16/23,5th St SE / Oak St SE,Closed - Arrest
UM 23-332241,Damage to Property,12/14/2023 2130,12/15/23,1920 2nd St S,Inactive
UM 23-337773,Theft,07/07/2023 0900,12/15/23,1815 4th St SE,CARLSON
UM 23-332469,Driving After Suspension,12/15/2023 1321,12/15/23,East River Pkwy / Harvard St SE,Closed - Cited
UM 23-322498,Flee Officer on Foot / Obstruct Legal Process,12/15/2023 1404,12/15/23,1001 5th St SE,Closed - Arrest
UM 23-332560,Package Theft,12/13/2023 1500,12/15/23,1168 Fifield St,Closed
UM 23-332670,Driving After Revocation,12/15/2023 1653,12/15/23,Riverside Ave / Franklin Ave E,Closed - Cited
UM 23-332812,No Valid Driver's License,12/15/2023 0846,12/15/23,Beacon St SE / Union St SE,Closed - Cited
UM 23-332918,Health Welfare Hold,12/15/2023 2105,12/15/23,412 22nd Ave S,Closed
UM 23-331660,Damage to Property,12/14/2023 1436,12/14/23,2302 6th St SE,Closed
UM 23-331463,Trespass,12/14/2023 1051,12/14/23,883 29th Ave Se,Closed
UM 23-332075,Health Welfare Hold,12/14/2023 2241,12/14/23,1 20th Ave S,Closed
UM 23-330449,Bike Theft,12/12/2023 0526,12/13/23,2046 Knapp St,HUCK
UM 23-330688,No Valid Driver's License,12/13/2023 1330,12/13/23,Riverside Ave / Franklin Ave E,Closed - Cited
UM 23-330751,Recovered Property,12/13/2023 0800,12/13/23,126 Union St SE,Closed
UM 23-330758,Trespass,12/13/2023 1456,12/13/23,615 Washington Ave SE,Closed
UM 23-330825,Trespass / Warrant,12/13/2023 1625,12/13/23,615 Washington Ave SE,Closed - Arrest
UM 23-330896,Impound Abandoned Vehicle,12/13/2023 1750,12/13/23,225 Pleasant St SE,Closed
UM 23-331051,Warrant,12/13/2023 2056,12/13/23,Pleasant St SE / Arlington St SE,Closed
UM 23-330386,Assault,12/13/2023 0314,12/13/23,300 Washington Ave SE,THOMAS
UM 23-329947,Crisis Intervention / Health Welfare Hold,12/12/2023 1522,12/12/23,412 22nd Ave S,Closed
MP 23-328835,Auto Theft,12/9/2023 0:00,12/13/23,Riverside Ave SE & 25th Ave S,MPD
MP 23-329523,Flee Police in Motor Vehicle,12/12/2023 2:08,12/13/23,4th St SE & 17th Ave SE,MPD
UM 23-328805,Bike Theft,12/11/2023 0750,12/11/23,9 Pleasant St SE,CARLSON
UM 23-328822,Parked in no Parking Zone,12/11/2023 0942,12/11/23,225 Pleasant Ave SE,Closed - Cited
UM 23-328985,Theft of Motor Vehicle Parts / Damage to,12/08/2023 1630,12/11/23,21 11th Ave SE,CARLSON
,Motor Vehicle,,
UM 23-329034,Mysterious Disapearance,08/01/2023 0000,12/11/23,1987 Upper Buford Cir,Closed
UM 23-329230,Hit/Run No Injury,12/11/2023 1800,12/11/23,Oak St SE / Fulton St SE,Inactive
UM 23-329343,Assault,12/11/2023 1920,12/11/23,1625 4th St SE,Inactive
UM 23-327461,Bike Theft,11/16/2023 0000,12/09/23,615 Fulton St SE,Inactive
UM 23-327177,Warrant,12/09/2023 1212,12/09/23,614 Delaware St SE,HUCK
UM 23-327140,Theft from Building,12/09/2023 0900,12/09/23,321 19th Ave S,FARRAR
UM 23-327137,Tamper with Motor Vehicle,12/09/2023 0710,12/09/23,300 S 19th Ave,Inactive
UM 23-326814,Driving While Intoxicated / Motor Vehicle,12/09/2023 0007,12/09/23,1 Washington Ave SE,THOMAS
,Accident Damage Report,,
UM 23-326213,Auto Theft,12/08/2023 1331,12/08/23,2210 6th St SE,CARLSON
UM 23-326141,Miscellaneous,12/07/2023 1200,12/08/23,701 15th Ave SE,Closed
UM 23-325345,Criminal Sexual Conduct - Rape,06/04/2023 1500,12/07/23,128 Pleasant St SE,Jurisdiction Transfer
UM 23-325081,Health Welfare Hold,12/07/2023 0915,12/07/23,275 Cedar Ave S,Closed
UM 23-325091,Burglary of Business,12/06/2023 1943,12/07/23,2030 University ave SE,Inactive
UM 23-325156,Damage to Property,12/07/2023 0622,12/07/23,701 15th Ave SE,HUCK
UM 23-324830,Driving While Intoxicated,12/06/2023 2311,12/07/23,Church St SE,THOMAS
UM 23-324177,Bike Theft,12/05/2023 1745,12/06/23,1 Washington Ave SE,CARLSON
UM 23-323503,Bugrlary of Dwelling,12/05/2023 0810,12/05/23,701 15th Ave SE,Inactive
MP 23-323729,Domestic Assault,12/4/2023 12:00,12/07/23,2450 Riverside Ave S,MPD
MP 23-323933,Assault,12/5/2023 21:15,12/07/23,2450 Riverside Ave S,MPD
UM 23-323316,Recovered Gun,12/04/2023 2000,12/05/23,1478 Fairview Ave,THOMAS
UM 23-323379,Damage to Motor Vehicle,12/04/2023 1115,12/05/23,1920 2nd St S,Inactive
UM 23-323459,Miscellaneous,12/04/2023 1930,12/05/23,1984 Buford Ave,Closed
UM 23-323637,Theft,12/02/2023 1745,12/05/23,500 Harvard St SE,THOMAS
UM 23-323719,Recovered Property,12/05/2023 1655,12/05/23,505 Washington Ave SE,Closed
UM 23-323856,Miscellaneous,12/04/2023 2046,12/05/23,412 22nd Ave S,Closed
UM 23-322489,Burglary of Business,12/01/2023 1200,12/04/23,2150 West River Pkwy,Inactive
UM 23-322629,Parking Violation,12/04/2023 1118,12/04/23,Harvard St SE / Delaware St SE,Closed
UM 23-322756,Package Theft,11/28/2023 1326,12/04/23,1207 Gibbs Ave,Inactive
UM 23-322896,Trespass,12/04/2023 1719,12/04/23,111 Church St SE,Closed - Cited
UM 23-322934,Warrant,12/04/2023 1802,12/04/23,1221 Washington Ave S,Closed - Arrest
MP 23-715169,Package Theft,11/27/2023 14:00,12/04/23,615 Fulton St SE,MPD
MP 23-318401,Auto Theft,11/27/2023 19:00,12/04/23,7th St SE & 15th St SE,MPD
MP 23-320284,Hit and Run with Injury,12/1/2023 13:59,12/04/23,27th Ave SE & University Ave SE,MPD
CL23-109,Liquor Law Violation,10/29/2023 3:00,12/04/23,Pioneer Hall,Disciplinary Referral
CL23-110,Liquor Law Violation,10/27/2023 21:45,12/04/23,Sanford Hall,Disciplinary Referral
CL23-111,Stalking,Jul-23,12/04/23,Minneapolis Campus,CSA Report
CL23-112,Rape,9/16/2023,12/04/23,Minneapolis Residence Hall,CSA Report
CL23-113,Intimidation: Race Bias,6/14/2023,12/04/23,Minneapolis Campus,CSA Report
CL23-114,Liquor Law Violation x 3,5/23/2023,12/04/23,Wilkins Hall,Disciplinary Referral
CL23-115,Liquor Law Violation,11/3/2023 0:00,12/04/23,Middlebrook Hall,Disciplinary Referral
CL23-116,Rape,Fall 2023,12/04/23,Pioneer Hall,CSA Report
